Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Тесля;Богуслава;Романівна;female;1992-12-21;Науковець;місто Первомайськ;провулок Уральський, буд. 0 кв. 54, Добромиль, 41913;+380 05 177 99 58;nazar23@example.com
Сич;Аркадій;Дмитрович;male;1993-03-03;Ґрунтознавець;місто Селидове;площа Орловська, буд. 40 кв. 5, Корюківка, 67417;+380 19 816-10-30;nadiia29@example.net
Олійник;Юстина;Іванівна;female;1976-12-21;Прокурор;хутір Ясинувата;сквер Виставочна, буд. 913, Сокаль, 19442;+380 29 801-92-16;oleksandr32@example.org
Левченко;Валентин;Юрійович;male;1943-10-24;Антрополог;село Радивилів;проспект Оранжерейний, буд. 7 кв. 18, Київ, 60202;898 88 14;daryna78@example.com
Михайлюк;Ада;Андріївна;female;1968-12-18;Фізик;хутір Надвірна;набережна Соборна, буд. 69, Біляївка, 12709;+380 (28) 425-46-79;ruslankolodub@example.org
Панчук;Тарас;Максимович;male;1966-01-07;Кухар;хутір Жашків;узвіз Західний 3-й, буд. 38, Жовті Води, 19765;036 804 29 45;symon82@example.net
Копитко;Микита;Степанович;male;1962-05-27;Мистецтвознавець;хутір Мерефа;сквер Виноградна, буд. 9 кв. 97, Старокостянтинів, 92660;+380 (02) 373-22-12;sartemenko@example.org
Тягнибок;Едуард;Дмитрович;male;1977-05-15;Кушнір;місто Керч;проспект Садова 6-та, буд. 0 кв. 203, Снятин, 01247;864 67 19;gishchenko@example.net
Мірошниченко;Юстина;Іллівна;female;1999-03-26;Кушнір;місто Вінниця;узвіз Перемоги, буд. 26 кв. 197, Калуш, 85487;+380 26 831 99 91;hennadiitelychenko@example.net
Джус;Хома;Васильович;male;1951-01-06;Намотувальник;хутір Брянка;сквер Курганська, буд. 3 кв. 79, Монастириська, 66037;+380 84 561-58-45;ieva29@example.net
Мамчур;Устим;Петрович;male;1959-05-24;Нотаріус;селище Долина ;узвіз Злакова, буд. 421 кв. 44, Дебальцеве, 60487;999-34-37;holiinyk@example.com
Оліфіренко;Веніямин;Васильович;male;1987-06-23;Кухар;хутір Івано-Франківськ;проспект Латвійський узвіз, буд. 2 кв. 05, Переяслав, 16155;+380 86 375-10-93;lbezborodko@example.net
Василенко;Зорян;Анатолійович;male;1966-03-11;Астронавт;місто Міусинськ;площа Джутовий, буд. 7, Гайсин, 99766;784-31-95;tiaremko@example.org
Бандурка;Петро;Володимирович;male;1959-07-26;Епідеміолог;хутір Красноград;проспект Рівності, буд. 704, Дружківка, 17152;004 876 62 19;barannykbohuslav@example.com
Юхименко;Пріска;Сергіївна;female;1993-08-02;Електромонтажник;хутір Славута;площа 15-та ст. Великого Фонтану пляж, буд. 903 кв. 806, Павлоград, 87722;440 76 14;suprunenkoiakiv@example.org
Базилевський;Григорій;Миколайович;male;1963-10-03;Кіноактор;місто Карлівка;провулок Тещин міст, буд. 0 кв. 1, Вугледар, 75174;696-79-62;riabetsorysia@example.net
Корпанюк;Марʼяна;Анатоліївна;female;1948-12-17;Випробувач;селище Вінниця;провулок Палубна, буд. 64, Стебник, 21292;200 16 87;abramenkopylyp@example.org
Бездітко;Зорян;Євгенович;male;1950-08-27;Медик;місто Красилів;парк Тимірязєва, буд. 039, Старокостянтинів, 99680;+380 16 296 46 77;onyshchenkosolomiia@example.net
Литвин;Оксана;Олександрівна;female;1968-01-19;Ботанік;селище Перечин;проспект Катаєва, буд. 0 кв. 4, Горлівка, 86925;+380 54 611-89-14;jvenhrynovych@example.net
Скирда;Віра;Андріївна;female;1991-05-14;Фізик;місто Снятин;узвіз Виноградний, буд. 32 кв. 42, Ялта, 43841;+380 85 428-30-38;zinchenkomyroslav@example.net
Щорс;Вадим;Володимирович;male;1985-11-27;Стиліст;село Коломия;парк Лиманчик 2-й Лінія 5-та, буд. 673 кв. 707, Київ, 51664;093 406-95-70;ievalavrenko@example.org
Чаленко;Надія;Романівна;female;1999-01-22;Піаніст;село Олевськ;парк Мельницька, буд. 7, Тальне, 07419;+380 26 872-79-36;olha64@example.net
Бабій;Руслан;Васильович;male;1998-03-13;Публіцист;місто Свалява;шосе Палубний, буд. 7 кв. 89, Ковель, 43459;+380 96 152-67-54;leopold40@example.com
Піддубна;Мілена;Сергіївна;female;1975-04-14;Драматург;село П'ятихатки;парк Комітетська, буд. 18, Прилуки, 47373;+380 21 196 15 19;dpavlychenko@example.org
Базилевич;Марта;Анатоліївна;female;1985-05-07;Стоматолог;місто Краматорськ;сквер Зоринська, буд. 405, Сєвєродонецьк, 07816;+380 90 968 02 83;hlaba@example.net
Негода;Остап;Володимирович;male;1940-03-14;Стоматолог;хутір Алчевськ;сквер Плієва, буд. 0 кв. 81, Ржищів, 52836;+380 (22) 922-56-23;kolesnychenkobohuslava@example.org
Бабич;Амвросій;Юрійович;male;1977-03-07;Економіст;селище Дружба ;сквер Миколи Плигуна, буд. 1, Дунаївці, 33992;524-77-73;viteranastasiia@example.org
Смик;Наталія;Романівна;female;1975-09-01;Швачка;місто Немирів;площа Коблевська, буд. 02, Канів, 09699;+380 79 615 77 65;pustovitroksolana@example.com
Артюх;Марʼяна;Дмитрівна;female;1980-07-20;Історик;село Ланівці;вулиця Наливна, буд. 83, Марганець , 18406;+380 82 589-98-09;atamaniukviktoriia@example.com
Жарко;Яків;Ілліч;male;1939-03-27;Біолог;селище Сторожинець;узвіз Джерельна, буд. 51 кв. 44, Путивль, 16129;+380 03 482-23-42;qradchenko@example.com
Баранник;Аніта;Василівна;female;1945-07-20;Письменник;село Світлодарськ;площа Махачкалинська, буд. 649, Кременець, 32890;+380 05 500-87-13;opanas32@example.org
Приходько;Костянтин;Сергійович;male;1989-03-11;Публіцист;хутір Саки ;сквер Латвійський узвіз, буд. 37, Березне, 67922;+380 83 610-99-89;vtaran@example.com
Міщенко;Світлана;Сергіївна;female;1973-05-05;Епідеміолог;селище Полонне;площа Манежна, буд. 4 кв. 0, Фастів, 58133;+380 (35) 313-08-36;valentynaatamanchuk@example.com
Пилипенко;Ганна;Василівна;female;1956-02-01;Диригент;селище Сквира;парк Юннатів, буд. 78, Коломия, 70786;322-84-30;lbevzenko@example.net
Мамчур;Ярослава;Володимирівна;female;1961-10-31;Маркетолог;місто Сулимівка (Слов'янськ);узвіз Мирна, буд. 10 кв. 5, Чорноморськ, 08852;083 659-35-16;pavlo33@example.com
Охріменко;Соломон;Романович;male;1988-01-21;Слідчий;місто Дружківка;провулок Кримський, буд. 8, Бердянськ, 89350;+380 17 874-25-30;priskafomenko@example.org
Усик;Августин;Володимирович;male;1954-08-17;Намотувальник;хутір Гайворон;узвіз Восьмого березня узвіз, буд. 513 кв. 40, Дубно, 73212;024 636 05 44;hrebryk@example.com
Вернидуб;Августин;Васильович;male;2000-10-03;Каскадер;селище Сватове;узвіз Левадна, буд. 13 кв. 8, Гайворон, 38768;247-50-64;markodrozdenko@example.net
Кальченко;Михайло;Вікторович;male;2001-04-21;Конструктор;хутір Татарбунари;парк Набережна, буд. 4, Мелітополь, 40396;+380 04 188 49 41;avhustyn34@example.org
Козак;Любов;Іллівна;female;1971-10-05;Літературознавець;хутір Добропілля;шосе Амурський 3-й, буд. 9 кв. 032, Буринь, 70276;046 955 64 23;spas40@example.org
Цимбал;Руслан;Іванович;male;1939-06-26;Антрополог;хутір Чортків;вулиця Небесної Сотні, буд. 84 кв. 24, Сіверськ, 50280;054 391 92 34;irena66@example.org
Бевз;Спас;Дмитрович;male;1943-02-23;Паблік рилейшнз;хутір Ізяслав;площа Капітана Кузнецова, буд. 05 кв. 7, Берегове, 65977;+380 (31) 930-48-12;orkhyp44@example.com
Даньків;Августин;Іванович;male;1985-04-28;Кінорежисер;місто Балта;площа Херсонський, буд. 837, Рожище, 42684;+380 25 058 67 38;marynahaievska@example.org
Верес;Дан;Олександрович;male;1953-11-08;Диригент;місто Червоносів;сквер Рекордний, буд. 805 кв. 34, Нове Давидково, 48623;+380 19 627-88-01;irenazatovkaniuk@example.net
Тесленко;Анжела;Степанівна;female;1974-09-05;Пекар;селище Первомайський ;набережна Штурманська, буд. 767, Жмеринка, 12265;121 87 56;parasiukoryna@example.net
Колодуб;Віталій;Геннадійович;male;1976-02-03;Круп'є;місто Кадіївка;шосе Кристаловського, буд. 9, Немирів, 31488;+380 25 352-16-23;vvakulenko@example.org
Нестайко;Ярина;Володимирівна;female;1945-07-20;Мовознавець;хутір Рава-Руська;узвіз Флотський 4-й, буд. 482 кв. 129, Умань, 36658;+380 00 508-44-74;danchenkostefan@example.net
Свистун;Данило;Андрійович;male;1990-09-22;Візажист;місто Буринь;шосе Ковалевського узвіз, буд. 995 кв. 064, Житомир, 75609;+380 00 418-81-75;nkomar@example.com
Фаренюк;Пантелеймон;Миколайович;male;1948-05-19;Паралегал;село Чугуїв;шосе Львівський, буд. 87, Мена , 36457;+380 (31) 165-72-80;xsvyrydenko@example.net
Матяш;Спас;Олександрович;male;2001-11-09;Драматург;селище Трускавець;проспект Олександра Блока, буд. 1 кв. 145, Буча, 43065;984-30-18;mykhailo85@example.org
Ватаманюк;Марина;Сергіївна;female;2008-06-04;Конструктор;село Первомайськ;вулиця Гімназична, буд. 54, Вишгород, 03858;+380 25 969-89-93;ievhentymchenko@example.com
Абрагамовський;Мартин;Максимович;male;1982-11-21;Електромонтажник;селище Липовець;провулок Іванівська, буд. 38 кв. 50, Великі Мости, 19378;+380 (28) 236-61-11;havryshkevychtetiana@example.org
Мірошниченко;Пилип;Богданович;male;1978-01-19;Археолог;місто Мена ;парк Аеродромний 2-й, буд. 91, Жовті Води, 88113;039 794-83-64;somkomyron@example.net
Дуплій;Адам;Володимирович;male;1986-08-13;Детектив;місто П'ятихатки;парк Бузковий 1-й, буд. 2 кв. 6, Очаків, 28237;536 38 91;hryhorii69@example.org
Захаренко;Остап;Максимович;male;1979-07-15;Нотаріус;селище Сквира;провулок Сергія Уточкіна, буд. 218, Кремінна, 25346;036 697-47-33;serhiivasylenko@example.org
Вдовенко;Юстина;Іллівна;female;1989-03-24;Електромонтажник;селище Сквира;парк Петра Лещенка, буд. 307 кв. 406, Білопілля, 01748;646 20 51;roksolanazarudna@example.org
Кащенко;Яків;Іванович;male;1972-09-29;Композитор;селище Новоукраїнка;провулок Старокінний, буд. 964 кв. 304, Миколаївка , 10963;+380 (74) 963-72-69;ylaba@example.net
Приходько;Данило;Олександрович;male;1994-02-07;Швачка;місто Чистякове;площа Салтикова-Щедріна, буд. 1, Мала Виска, 89647;145 42 07;verkholaalbina@example.com
Вишиваний;Спас;Анатолійович;male;1952-07-06;Будник;селище Буча;шосе Бориса Літвака, буд. 8, Мар'їнка, 60856;382-34-57;kalenychenkosemen@example.com
Вакарчук;Альберт;Ілліч;male;1988-12-29;Драматург;село Кадіївка;узвіз Картамишевська, буд. 346, Андрушівка, 60782;+380 10 251 87 01;avrelii67@example.com
Товстуха;Павло;Олександрович;male;1968-06-22;Дерун;місто Сорокине;парк Лінія 41-ша, буд. 216 кв. 55, Оріхів, 89770;+380 77 958 36 94;uhavrylyshyna@example.com
Щербак;Кирило;Вікторович;male;1959-02-24;Педагог;селище Барвінкове;вулиця Амундсена, 2-й, буд. 1, Калинівка , 21507;+380 53 367 27 39;vlasiukserhii@example.org
Гузенко;Михайлина;Іллівна;female;1976-02-02;Стоматолог;селище Кролевець;набережна Дальницьке, буд. 771 кв. 55, Вишневе , 99835;658-74-66;sirobabafedir@example.net
Акименко;Анжела;Романівна;female;1943-01-10;Науковець;селище Гайсин;сквер Західний 2-й, буд. 770 кв. 9, Світловодськ, 17119;083 982 08 77;markokhmara@example.org
Євтушенко;Соломон;Володимирович;male;1974-09-15;Золотар;хутір Новгород-Сіверський;парк Північна, буд. 03, Мала Виска, 20355;+380 24 806 54 91;okhrim89@example.com
Лаба;Василь;Євгенович;male;1982-04-24;Доцент;місто Козятин;узвіз Елеваторна, буд. 97, Родинське, 75927;048 686-50-37;olena89@example.com
Алексійчук;Валентин;Володимирович;male;1967-05-21;Епідеміолог;хутір Камінь-Каширський;вулиця Офіцерський 2-й, буд. 312, Вільногірськ, 96706;087 287-34-86;kamilladavymuka@example.org
Кабалюк;Леон;Степанович;male;2007-07-22;Стропальник;хутір Жашків;набережна Київське, буд. 3, Дубровиця, 25673;+380 59 686-01-18;haidaielysei@example.net
Забара;Софія;Богданівна;female;2003-08-29;Фрілансер;місто Шостка;сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 346, Вуглегірськ, 95991;166 22 74;olhazharko@example.com
Микитюк;Борислав;Дмитрович;male;1994-01-01;Дипломат;селище Долина ;набережна Слобідська, буд. 171, Полтава, 29170;095 335 28 03;zlatoslava66@example.org
Козаченко;Богуслав;Анатолійович;male;2004-12-26;Парфюмер;село Дніпрорудне;сквер Чорноморський 13-й, буд. 59 кв. 137, Очаків, 76849;+380 18 773-96-06;bevzenkopylyp@example.com
Базилевський;Леон;Петрович;male;2004-09-23;Золотар;хутір Андрушівка;набережна Якірний, буд. 663 кв. 45, Горохів, 84770;116-07-93;ozhadan@example.net
Щириця;Дан;Геннадійович;male;2003-12-30;Антрополог;село Кам'янське;парк Семінарська, буд. 99 кв. 8, Миронівка, 35923;+380 92 300-23-73;suprunenkoillia@example.org
Щириця;Надія;Олегівна;female;1960-04-01;Ветеринар;місто Хрустальний;набережна Виставочна, буд. 9, Здолбунів, 64332;+380 (29) 577-16-93;xvitruk@example.net
Ващук;Емілія;Петрівна;female;1991-05-08;Гірник;місто Шепетівка;проспект Дельфін, буд. 964 кв. 650, Соснівка , 98147;269 80 96;rostyslav34@example.com
Штепа;Василь;Дмитрович;male;1966-04-12;Складальник;хутір Кропивницький;сквер Естафетна, буд. 4 кв. 6, Середина-Буда, 60659;+380 54 933-72-89;demian51@example.org
Юхименко;Охрім;Євгенович;male;1949-01-11;Бухгалтер;село Скалат;шосе Смоленська, буд. 454 кв. 644, Боково-Хрустальне, 85871;598 83 38;tandriichuk@example.org
Ільєнко;Клавдія;Петрівна;female;2001-02-26;Соціолог;хутір Джанкой;узвіз Тюльпанний, буд. 86 кв. 7, Дубно, 92057;+380 25 045-10-92;panas99@example.net
Сіробаба;Ольга;Богданівна;female;1941-11-25;Редактор;селище Сторожинець;парк Ползунова 2-й, буд. 5 кв. 95, Амвросіївка, 20201;079 806 87 90;veniiamynmoskal@example.net
Чередник;Назар;Євгенович;male;1977-12-20;Економіст;селище Чернівці;парк Мічуріна, буд. 563, Радомишль, 80529;088 604-58-20;andriikorpaniuk@example.net
Алексеєнко;Віктор;Іванович;male;1982-06-15;Музикант;хутір Маріуполь;площа Композитора Глинки, буд. 6 кв. 60, Христинівка, 71926;403 82 99;liliiasirchenko@example.net
Прокопович;Марта;Геннадіївна;female;1946-05-28;Професор;село Тернопіль;узвіз Болградська, буд. 0 кв. 55, Соснівка , 14272;+380 (91) 072-58-00;albina39@example.net
Романенко;Роксолана;Іллівна;female;1961-03-18;Бібліограф;селище Таврійськ;сквер Олександра Невського, буд. 45 кв. 023, Верхівцеве, 51723;+380 (88) 605-89-52;hermanmykhailiuk@example.com
Вернигора;Йосип;Васильович;male;1985-11-13;Випробувач;місто Васильків;узвіз Лавкова, буд. 7 кв. 55, Корюківка, 82822;495 03 28;chalenkonadiia@example.org
Жадан;Еріка;Іллівна;female;2001-01-23;Бухгалтер;село Хотин;парк Спортивна, буд. 17, Скалат, 86611;029 653-51-55;lesvitruk@example.net
Гук;Святослав;Анатолійович;male;1986-01-06;Музикознавець;селище Мала Виска;провулок Мічуріна, буд. 768, Броди, 57168;605 76 16;ibashtan@example.com
Носенко;Пантелеймон;Вікторович;male;1983-05-14;Електрослюсар;село Пирятин;шосе Травневий 3-й, буд. 551 кв. 28, Іловайськ, 83345;058 792-90-94;makar20@example.com
Дутка;Лариса;Степанівна;female;1939-10-27;Дизайнер;селище Сніжне;шосе Північна, буд. 2, Яворів, 27736;+380 80 442-72-97;lvasylevych@example.com
Романенко;Ярослав;Ілліч;male;1981-04-23;Стропальник;село Чернівці;парк Північний, буд. 4, Рожище, 28206;517 04 58;fastenkokhoma@example.net
Саєнко;Кирило;Євгенович;male;2003-10-20;Музичний редактор;хутір Борислав;парк Прохоровський, буд. 7, Перечин, 77119;+380 (24) 594-37-10;bashtanolena@example.net
Юрчишин;Василь;Анатолійович;male;1992-03-01;Кур'єр;хутір Іллінці;набережна Азовський, буд. 3 кв. 45, Чистякове, 97239;+380 (75) 781-76-33;tovstukhavarfolomii@example.com
Скирда;Ада;Іванівна;female;1976-10-05;Педагог;хутір Радивилів;площа Фабрична, буд. 21 кв. 53, Генічеськ, 63720;+380 61 071-09-26;ustymhavryliv@example.org
Артюшенко;Ірена;Максимівна;female;1982-04-15;Лікар;селище Нікополь;набережна Солонцюватий 1-й, буд. 93, Шахтарськ, 73783;037 403-57-60;marta36@example.net
Лагода;Ігор;Петрович;male;1972-09-06;Різноробочий;хутір Красноперекопськ;провулок Толбухіна, буд. 8 кв. 89, Золотоноша, 31026;071 024-98-99;lkhrystenko@example.com
Андрейко;Михайло;Миколайович;male;1947-01-27;Конструктор;місто Сватове;провулок Краснослобідський, буд. 445 кв. 811, Гола Пристань, 27888;+380 28 750-91-37;leopold44@example.com
Зінченко;Аніта;Петрівна;female;1953-09-03;Кінолог;хутір Бобринець;набережна Паустовського, буд. 640, Івано-Франківськ, 97283;+380 (92) 346-45-40;ostaphavrysh@example.com
Захаренко;Ілля;Юрійович;male;2003-03-05;Конструктор;село Семенівка;шосе Ключовий 1-й, буд. 24, Світловодськ, 05339;+380 (48) 123-15-82;erika15@example.net
Байрак;Одарка;Миколаївна;female;1966-09-02;Промисловець;село Донецьк;набережна Пастера, буд. 96 кв. 6, Тараща, 65478;545-54-93;oksana63@example.net
Данько;Ігор;Петрович;male;1985-06-29;Електрослюсар;селище Копичинці;парк Тульська, буд. 643 кв. 85, Бурштин , 33414;+380 20 842 48 15;ihor92@example.net
Ґалаґан;Олесь;Дмитрович;male;1971-12-20;Соціолог;місто Старий Крим;парк Східчастий 4-й, буд. 383 кв. 3, Дружба , 44247;734-35-83;irenariabets@example.com
Мамчур;Адам;Богданович;male;1989-03-21;Менеджер;селище Старобільськ;узвіз Дачний 2-й, буд. 924 кв. 0, Батурин, 88338;+380 76 748-43-65;ievhen58@example.org
Венгринович;Кирило;Володимирович;male;1977-08-10;Шериф;хутір Мирноград;площа Аеропортівський 6-й, буд. 5, Першотравенськ, 42351;704-73-94;viacheslav57@example.org
Лисенко;Емілія;Миколаївна;female;2005-04-25;Локсмайстер;місто Костянтинівка;проспект Короткий, буд. 405, Васильків, 47995;087 573-97-75;roksolana79@example.org
Жадан;Борис;Дмитрович;male;1968-03-17;Стропальник;селище Решетилівка;площа Рульовий, буд. 42 кв. 1, Сватове, 88708;+380 (25) 912-76-91;dzhundaryna@example.net
Ільєнко;Левко;Степанович;male;1966-06-01;Електромонтажник;хутір Ладижин;шосе Окружна, буд. 50, Старий Крим, 43211;+380 (74) 161-37-88;mykyta87@example.org
Вобла;Оксана;Іванівна;female;1957-07-16;Біолог;хутір Снігурівка;проспект Івана Франка, буд. 91, Ківерці, 46634;374-19-85;zderehus@example.org
Ільєнко;Галина;Олександрівна;female;1970-05-12;Випробувач;селище Берестечко;провулок Східний 2-й, буд. 9, Богодухів, 18327;+380 (22) 276-92-40;teodor50@example.org
Лисенко;Златослава;Василівна;female;1945-11-13;Патологоанатом;місто Чернівці;узвіз Радіальний, буд. 9, Боково-Хрустальне, 20154;014 205-00-32;omelianchupryna@example.com
Шинкаренко;Марія;Анатоліївна;female;1993-05-19;Парфюмер;хутір Чистякове;проспект Лінія 25-та, буд. 1 кв. 563, Ровеньки, 06559;578 74 75;iefymenkoiefrem@example.net
Деряжна;Марта;Володимирівна;female;1941-11-11;Няня;хутір Скадовськ;вулиця Маловського, буд. 5, Бобровиця, 99291;321 14 52;saienkooleksa@example.org
Дзюба;Юстим;Іванович;male;1974-04-09;Кіноактор;хутір Хоростків;вулиця Воронезька, буд. 6, Глухів, 55712;082 299 17 07;zhaliloalbert@example.com
Вахній;Василь;Ілліч;male;1979-03-26;Локсмайстер;місто Гайсин;сквер Дальницьке, буд. 80 кв. 104, Заводське, 22536;052 398-74-44;fedir01@example.net
Цюцюра;Емілія;Василівна;female;1992-06-30;Редактор;селище Петрово-Красносілля;сквер Шота Руставелі, буд. 094, Мена , 10887;+380 78 112-56-08;nadiiafareniuk@example.com
Дейнеко;Нестор;Євгенович;male;1956-10-27;Продюсер;село Сватове;набережна Соляний 4-й, буд. 5, Сніжне, 21986;+380 83 104-25-49;leonid88@example.net
Іщак;Єлисей;Степанович;male;1953-11-28;Стропальник;місто Старобільськ;площа Черепанових 2-й, буд. 431 кв. 7, Хмільник, 89285;+380 78 646-61-58;ukanivets@example.net
Єрьоменко;Анжела;Сергіївна;female;1989-07-01;Промисловець;хутір Хмельницький;вулиця Середньофонтанська, буд. 720 кв. 0, Гадяч, 29702;037 042 27 90;olhababii@example.org
Вишняк;Олександр;Євгенович;male;2004-08-17;Пекар;село Львів;узвіз Офіцерська, буд. 9, Лутугине, 77813;+380 07 801-15-29;yhutsuliak@example.org
Яценко;Розалія;Сергіївна;female;1955-08-29;Громадський діяч;хутір Бахмач;узвіз 8-ма Суворовська, буд. 2 кв. 00, Нова Одеса, 96496;+380 51 191-34-62;darahanalla@example.net
Тесля;Сергій;Степанович;male;1986-08-19;Гінеколог;село Луганськ;проспект Перший Кришталевий, буд. 623 кв. 78, Біляївка, 60637;+380 54 389 90 59;prokhir30@example.com
Шаповал;Олена;Іллівна;female;1940-01-08;Хімік;селище Дружба ;проспект Глазунова, буд. 09, Рудки, 19270;201-57-58;eduardrudyk@example.net
Чумаченко;Ада;Дмитрівна;female;1997-04-02;Стиліст;місто Носівка;шосе Молоді, буд. 34, Дружківка, 82314;+380 72 751 60 07;hverkhovynets@example.com
Романенко;Марко;Іванович;male;1969-05-10;Фрілансер;село Підгородне;сквер Виноградна 1-ша, буд. 714, Донецьк, 95426;232 39 18;oleh13@example.com
Бандурка;Віолетта;Сергіївна;female;1986-11-28;Письменник;місто Калуш;парк Ланжеронівська, буд. 1, Краматорськ, 96428;394-20-49;onyshchenkohavrylo@example.net
Дрозденко;Маруся;Євгенівна;female;2007-02-01;Випробувач;місто Ічня;вулиця Пересипська 8-ма, буд. 0 кв. 38, Яремче, 89128;914-76-43;walekseienko@example.org
Христенко;Тетяна;Євгенівна;female;1988-05-08;Парфюмер;село Житомир;проспект Сабанський, буд. 80, Прип'ять , 01884;+380 67 349-00-42;leopoldsaienko@example.com
Якименко;Макар;Іванович;male;1999-06-12;Стиліст;хутір Верхньодніпровськ;сквер Виноградна 2-га, буд. 576 кв. 3, Дніпро , 17200;+380 55 496 46 00;babkoalina@example.net
Василевич;Олег;Юрійович;male;1966-05-30;Педагог;селище Вінниця;сквер Горизонтальна, буд. 6, Дружківка, 54632;010 904-92-02;feofantokar@example.com
Заруба;Гліб;Геннадійович;male;1944-04-02;Фармацевт;село Новий Калинів;вулиця Левкоєва, буд. 552 кв. 5, Дубровиця, 73527;437-98-73;bohuslava22@example.org
Чорновіл;Леопольд;Олександрович;male;1982-02-23;Епідеміолог;місто Тисмениця;площа Колонічна, буд. 47 кв. 748, Макіївка, 23757;+380 74 935-16-09;korolenkoiryna@example.com
Цюцюра;Валерій;Васильович;male;1974-01-23;Менеджер;село Дергачі;площа Басейна, буд. 5, Рожище, 86497;+380 (09) 707-66-14;viacheslav67@example.net
Рябошапка;Оксенія;Юріївна;female;1998-04-27;Публіцист;місто Сновськ;провулок Маршала Говорова, буд. 951 кв. 8, Дебальцеве, 69788;227-54-35;mavramenko@example.com
Козаченко;Анжела;Іллівна;female;1976-05-16;Паблік рилейшнз;селище Нова Каховка;проспект Радіальний, буд. 6 кв. 963, Інкерман, 75439;+380 (28) 173-45-45;ehavrylenko@example.com
Дейнека;Артем;Геннадійович;male;1989-10-28;Журналіст;хутір Берислав;провулок Колективний, буд. 40 кв. 1, Алушта, 71604;082 400 66 06;nkhorishko@example.org
Полтавець;Амалія;Євгенівна;female;2007-11-02;Випробувач;хутір Яворів;набережна Хвойний, буд. 255, Долинська, 66977;046-88-68;cshcherban@example.net
Алексійчук;Валентин;Володимирович;male;1975-11-12;Слідчий;село Буськ;сквер Матроський узвіз, буд. 4, Брянка, 12497;+380 75 597-13-73;stepan91@example.net
Цюцюра;Камілла;Іллівна;female;1949-11-22;Агроном;село Дергачі;проспект Шебелінський, буд. 2 кв. 67, Красилів, 90558;094 416-31-67;cbarabash@example.com
Цюцюра;Демид;Юрійович;male;2007-02-27;Водій;хутір Лубни;провулок Транспортна, буд. 0 кв. 682, Середина-Буда, 77753;+380 89 185-24-97;atamaniukmykolai@example.com
Батіг;Давид;Максимович;male;1949-04-13;Фізик;хутір Волочиськ;узвіз Дорожня, буд. 62, Сновськ, 93800;+380 30 330 72 27;oriabchenko@example.net
Хомик;Станіслав;Володимирович;male;1969-06-08;Історик;село Білгород-Дністровський;площа Тульська, буд. 68, Борислав, 77981;+380 28 490 82 80;iaroslavaiukhymenko@example.com
